id	org	files	has_meta	tar_meta	has_r	usable	year	month	day	journal	link
GSE135357	Homo sapiens	BEDPE, MTX, TSV, TXT	no	no	no	no	2019	Aug	04	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135357//suppl/filelist.txt
GSE135356	Homo sapiens	MTX, TSV	no	no	no	no	2019	Aug	04	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135356//suppl/filelist.txt
GSE135283	Mus musculus	BED, BEDGRAPH, TSV	no	no	no	no	2019	Aug	02	Sci Adv	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135283//suppl/filelist.txt
GSE122460	Homo sapiens	CSV, TXT	yes	error_parse	no	yes	2018	Nov	13	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE122nnn/GSE122460//suppl/filelist.txt
GSE118258	Homo sapiens	CSV, TXT	yes	error_parse	no	yes	2018	Aug	07	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE118nnn/GSE118258//suppl/filelist.txt
GSE106251	Homo sapiens	TXT	no	error_parse	no	no	2017	Oct	26	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106251//suppl/filelist.txt
GSE100344	Homo sapiens	CSV	no	error_parse	no	no	2017	Jun	22	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100344//suppl/filelist.txt
GSE143546	Mus musculus	BW	no	no	no	no	2020	Jan	13	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143546//suppl/filelist.txt
GSE143545	Mus musculus	BW, TSV, TXT	no	no	no	no	2020	Jan	13	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE143nnn/GSE143545//suppl/filelist.txt
GSE156285	Homo sapiens	H5	no	no	no	no	2020	Aug	14	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156285//suppl/filelist.txt
